drug,city,name,address,price
ALBUTEROL SULFATE,Chicago,BRONZEVILLE PHARMACY  ,"3241 S Michigan Ave Ste 1583
Chicago, IL 60616",10.23
ALBUTEROL SULFATE,Chicago,COSTCO PHARMACY  ,"1430 S Ashland Ave
Chicago, IL 60608",13.63
ALBUTEROL SULFATE,Chicago,CVS PHARMACY  ,"520 S State St
Chicago, IL 60605",13.7
ALBUTEROL SULFATE,Chicago,CARE PLUS CVS/PHARMACY  ,"69 W Washington St Lowr LL09
Chicago, IL 60602",13.7
ALBUTEROL SULFATE,Chicago,OSCO DRUG  ,"1224 S Wabash Ave
Chicago, IL 60605",14.98
ALBUTEROL SULFATE,Cincinnati,UC HEALTH PHARMACY  ,"3200 Burnet Ave
Cincinnati, OH 45229",3.99
ALBUTEROL SULFATE,Cincinnati,TISCHBEIN PHARMACY  ,"3500 Erie Ave
Cincinnati, OH 45208",3.99
ALBUTEROL SULFATE,Cincinnati,KROGER PHARMACY  ,"53 Donnermeyer Dr
Bellevue, KY 41073",6.78
ALBUTEROL SULFATE,Cincinnati,MEIJER PHARMACY  ,"4825 Marburg Ave Unit B
Cincinnati, OH 45209",8.48
ALBUTEROL SULFATE,Cincinnati,WALMART PHARMACY  ,"3450 Valley Plaza Pkwy
Ft Mitchell, KY 41017",8.75
ALBUTEROL SULFATE,Cincinnati,PHARMACY OVER THE RHINE  ,"5 E Liberty St
Cincinnati, OH 45202",10.23
ALBUTEROL SULFATE,Cincinnati,WALGREENS  ,"601 Race St
Cincinnati, OH 45202",10.83
ALBUTEROL SULFATE,Cincinnati,"COMMUNITY, A WALGREENS PHARMACY  ","260 Stetson St Ste F
Cincinnati, OH 45219",10.83
ALBUTEROL SULFATE,Cincinnati,CVS PHARMACY  ,"36 E 7th St
Cincinnati, OH 45202",13.7
ALBUTEROL SULFATE,Dallas,PRESTON ROAD PHARMACY  ,"6901 Preston Rd
Dallas, TX 75205",3.99
ALBUTEROL SULFATE,Dallas,WALMART PHARMACY  ,"2305 N Central Expy
Dallas, TX 75204",6.76
ALBUTEROL SULFATE,Dallas,KROGER PHARMACY  ,"4241 Capitol Ave
Dallas, TX 75204",6.78
ALBUTEROL SULFATE,Dallas,LOOP 12 PHARMACY  ,"3232 GREAT TRINITY FOREST WAY # 103
Dallas, TX 75216",8.75
ALBUTEROL SULFATE,Dallas,ALTA CARE PHARMACY  ,"3434 W Illinois Ave Ste 7
Dallas, TX 75211",8.75
ALBUTEROL SULFATE,Dallas,WALGREENS  ,"1306 N Beckley Ave
Dallas, TX 75203",8.83
ALBUTEROL SULFATE,Dallas,"COMMUNITY, A WALGREENS PHARMACY  ","3826 Cedar Springs Rd
Dallas, TX 75219",8.83
ALBUTEROL SULFATE,Dallas,LORD AND A PHARMACY  ,"2949 Martin Luther King Jr Blvd
Dallas, TX 75215",10.23
ALBUTEROL SULFATE,Dallas,METHODIST COMMUNITY PHARMACY - DALLAS  ,"1441 N BECKLEY AVE
Dallas, TX 75203",10.23
ALBUTEROL SULFATE,Dallas,BLUITTS PHARMACY  ,"2809 Cedar Crest Blvd
Dallas, TX 75203",10.23
ALBUTEROL SULFATE,Dallas,ALDRIDGES FAMILY  ,"1408 Bonnie View Rd
Dallas, TX 75203",10.23
ALBUTEROL SULFATE,Dallas,SAFEMED PHARMACY  ,"6300 Samuell Blvd Ste 118
Dallas, TX 75228",10.23
ALBUTEROL SULFATE,Dallas,"RENUE RX, A BENZER PHARMACY  ","600 N Pearl St Ste H201
Dallas, TX 75201",10.82
ALBUTEROL SULFATE,Dallas,TOM THUMB PHARMACY  ,"2380 N FIELD ST
Dallas, TX 75201",13.48
ALBUTEROL SULFATE,Dallas,CVS PHARMACY  ,"208 S Akard St # PC08
Dallas, TX 75202",13.7
ALBUTEROL SULFATE,Dallas,UT SOUTHWESTERN CAMPUS PHARMACY  ,"5303 Harry Hines Blvd Ste 100
Dallas, TX 75390",14.08
ALBUTEROL SULFATE,Dallas,UTSOUTHWESTERN MEDICAL CENTER PHARMACY  ,"2201 Inwood Rd
Dallas, TX 75235",14.08
ALBUTEROL SULFATE,Dallas,UTSW UNIVERSITY HOSPITAL RETAIL PHARMACY  ,"6201 Harry Hines Blvd Ste 1.117
Dallas, TX 75235",14.08
ALBUTEROL SULFATE,Denver,KING SOOPERS PHARMACY  ,"1331 Speer Blvd
Denver, CO 80204",7.48
ALBUTEROL SULFATE,Denver,THE KROGER CO. KS113  ,"1220 S Lipan St
Denver, CO 80223",7.48
ALBUTEROL SULFATE,Denver,WALMART PHARMACY  ,"2770 W Evans Ave
Denver, CO 80219",8.75
ALBUTEROL SULFATE,Denver,WALGREENS  ,"801 16th St
Denver, CO 80202",8.83
ALBUTEROL SULFATE,Denver,"COMMUNITY, A WALGREENS PHARMACY  ","2608 E Colfax Ave
Denver, CO 80206",8.83
ALBUTEROL SULFATE,Denver,RITE AID PHARMACY  ,"2870 S Colorado Blvd
Denver, CO 80222",8.83
ALBUTEROL SULFATE,Denver,TODDS HARVARD PARK PHARMACY  ,"950 E Harvard Ave Ste 170
Denver, CO 80210",10.23
ALBUTEROL SULFATE,Denver,SAFEWAY PHARMACY  ,"757 E 20th Ave
Denver, CO 80205",13.48
ALBUTEROL SULFATE,Denver,COSTCO PHARMACY  ,"5195 Wadsworth Blvd
Arvada, CO 80002",13.63
ALBUTEROL SULFATE,Denver,CVS PHARMACY  ,"1600 CALIFORNIA ST STE 14
Denver, CO 80202",13.7
ALBUTEROL SULFATE,Denver,DENVER HEALTH PRIMARY CARE PHARMACY  ,"301 W 6th Ave
Denver, CO 80204",14.08
ALBUTEROL SULFATE,Detroit,GRISWOLD PHARMACY  ,"1411 Washington Blvd
Detroit, MI 48226",3.99
ALBUTEROL SULFATE,Detroit,FARMACITY PHARMACY  ,"3456 W Vernor Hwy Ste B
Detroit, MI 48216",3.99
ALBUTEROL SULFATE,Detroit,NOTTINGHAM PHARMACY LLC  ,"15800 E Warren Ave
Detroit, MI 48224",3.99
ALBUTEROL SULFATE,Detroit,DETROIT NEW HOPE PHARMACY  ,"19940 Conant St Ste D
Detroit, MI 48234",3.99
ALBUTEROL SULFATE,Detroit,LIVERNOIS EXPRESS PHARMACY  ,"15530 Puritan St
Detroit, MI 48227",3.99
ALBUTEROL SULFATE,Detroit,MEIJER PHARMACY  ,"1301 W 8 Mile Rd
Detroit, MI 48203",8.48
ALBUTEROL SULFATE,Detroit,PEOPLES MEDICAL PHARMACY  ,"7608 Gratiot Ave
Detroit, MI 48213",8.75
ALBUTEROL SULFATE,Detroit,WALMART PHARMACY  ,"5851 Mercury Dr
Dearborn, MI 48126",8.75
ALBUTEROL SULFATE,Detroit,WALGREENS  ,"3901 BEAUBIEN BLVD
Detroit, MI 48201",8.83
ALBUTEROL SULFATE,Detroit,NEW SAMARITAN PHARMACY  ,"5575 Conner St Ste 103
Detroit, MI 48213",10.23
ALBUTEROL SULFATE,Detroit,RITE AID PHARMACY  ,"4612 Woodward Ave
Detroit, MI 48201",10.25
ALBUTEROL SULFATE,Detroit,KROGER PHARMACY  ,"2060 Dix Hwy
Lincoln Park, MI 48146",10.39
ALBUTEROL SULFATE,Detroit,BENZER PHARMACY  ,"6240 Michigan Ave
Detroit, MI 48210",10.82
ALBUTEROL SULFATE,Detroit,LAFAYETTE DRUGS SAVMOR  ,"670 Chene St
Detroit, MI 48207",13.63
ALBUTEROL SULFATE,Detroit,UNIVERSITY PHARMACY  ,"5254 Anthony Wayne Dr
Detroit, MI 48202",13.63
ALBUTEROL SULFATE,Detroit,FRD PHARMACY SAVMOR  ,"9811 Conant St
Hamtramck, MI 48212",13.63
ALBUTEROL SULFATE,Detroit,INSTACARE PHARMACY LLC  ,"14300 Michigan Ave
Dearborn, MI 48126",13.63
ALBUTEROL SULFATE,Detroit,MERIT WOODS PHARMACY  ,"19325 Mack Ave
Grosse Pointe Woods, MI 48236",13.63
ALBUTEROL SULFATE,Detroit,CVS PHARMACY  ,"1037 Woodward Ave
Detroit, MI 48226",13.7
ALBUTEROL SULFATE,Detroit,SOUTH DEARBORN PHARMACY INC  ,"9925 Dix Ste 106
Dearborn, MI 48120",14.08
ALBUTEROL SULFATE,Houston,WALMART PHARMACY  ,"111 Yale St
Houston, TX 77007",6.76
ALBUTEROL SULFATE,Houston,KROGER PHARMACY  ,"1440 Studemont St
Houston, TX 77007",6.78
ALBUTEROL SULFATE,Houston,HEB PHARMACY  ,"1701 W Alabama St
Houston, TX 77098",8.48
ALBUTEROL SULFATE,Houston,WALGREENS  ,"2612 Smith St
Houston, TX 77006",8.83
ALBUTEROL SULFATE,Houston,"COMMUNITY, A WALGREENS PHARMACY  ","4101 Greenbriar Dr Ste 235
Houston, TX 77098",8.83
ALBUTEROL SULFATE,Houston,WASHINGTON AVE PHARMACY CENTER  ,"2515 Washington Ave Ste 1401
Houston, TX 77007",10.23
ALBUTEROL SULFATE,Houston,MEDICAL PLAZA PHARMACY  ,"2101 Crawford St
Houston, TX 77002",10.23
ALBUTEROL SULFATE,Houston,CANAL PHARMACY  ,"2502 Canal St
Houston, TX 77003",10.23
ALBUTEROL SULFATE,Houston,AMEX UNITED DRUG  ,"3030 Canal St
Houston, TX 77003",10.23
ALBUTEROL SULFATE,Houston,SIMONS PHARMACY  ,"3303 N Main St
Houston, TX 77009",10.23
ALBUTEROL SULFATE,Houston,CANAL RX  ,"3311 Canal St
Houston, TX 77003",10.23
ALBUTEROL SULFATE,Houston,TOTAL PHARMACY CENTER ONE  ,"4302 Center St
Houston, TX 77007",10.23
ALBUTEROL SULFATE,Houston,WEST AVE PHARMACY  ,"2800 Kirby Dr Ste A200
Houston, TX 77098",10.23
ALBUTEROL SULFATE,Houston,LELAND PHARMACY  ,"5412 Farmer St
Houston, TX 77020",10.23
ALBUTEROL SULFATE,Houston,HEIGHTS STUDEWOOD PHARMACY  ,"427 W 20th St Ste 105
Houston, TX 77008",10.23
ALBUTEROL SULFATE,Houston,PECAN PARK PHARMACY  ,"906 Wayside Dr
Houston, TX 77011",10.23
ALBUTEROL SULFATE,Houston,CUNNINGHAM PHARMACY GULFBANK  ,"7101 Lawndale St
Houston, TX 77023",10.23
ALBUTEROL SULFATE,Houston,RANDALLS PHARMACY  ,"2225 Louisiana St
Houston, TX 77002",13.48
ALBUTEROL SULFATE,Houston,COSTCO PHARMACY  ,"3836 Richmond Ave
Houston, TX 77027",13.63
ALBUTEROL SULFATE,Houston,CVS PHARMACY  ,"917 Main St
Houston, TX 77002",13.7
ALBUTEROL SULFATE,Las Vegas,SMITHS PHARMACY  ,"2540 S Maryland Pkwy
Las Vegas, NV 89109",7.48
ALBUTEROL SULFATE,Las Vegas,WALMART PHARMACY  ,"1400 S Lamb Blvd
Las Vegas, NV 89104",8.75
ALBUTEROL SULFATE,Las Vegas,QHR PHARMACY  ,"765 N Nellis Blvd Ste 7
Las Vegas, NV 89110",8.75
ALBUTEROL SULFATE,Las Vegas,DTS PHARMACY & COMPOUNDING  ,"2208 E Charleston Blvd Ste B
Las Vegas, NV 89104",10.23
ALBUTEROL SULFATE,Las Vegas,COMMUNITY CARE PHARMACY  ,"1820 E Lake Mead Blvd Ste N
North Las Vegas, NV 89030",10.23
ALBUTEROL SULFATE,Las Vegas,CITY CENTRE PHARMACY  ,"2290 McDaniel St Ste 1-A
N Las Vegas, NV 89030",10.23
ALBUTEROL SULFATE,Las Vegas,ALL IN ONE PHARMACY  ,"2080 E Flamingo Rd Ste 310
Las Vegas, NV 89119",10.23
ALBUTEROL SULFATE,Las Vegas,BENZER PHARMACY  ,"3035 S Maryland Pkwy Ste 120
Las Vegas, NV 89109",10.82
ALBUTEROL SULFATE,Las Vegas,WALGREENS  ,"495 Fremont St
Las Vegas, NV 89101",10.83
ALBUTEROL SULFATE,Las Vegas,"COMMUNITY, A WALGREENS PHARMACY  ","901 S Rancho Dr Ste 20
Las Vegas, NV 89106",10.83
ALBUTEROL SULFATE,Las Vegas,VONS PHARMACY  ,"1155 E Twain Ave
Las Vegas, NV 89169",13.48
ALBUTEROL SULFATE,Las Vegas,CVS PHARMACY  ,"1812 E Charleston Blvd
Las Vegas, NV 89104",13.7
ALBUTEROL SULFATE,Las Vegas,SAVON PHARMACY  ,"2885 E Desert Inn Rd
Las Vegas, NV 89121",14.98
ALBUTEROL SULFATE,Las Vegas,SAV-ON PHARMACY  ,"5881 E Charleston Blvd
Las Vegas, NV 89142",14.98
ALBUTEROL SULFATE,Los Angeles,ST LUKE PHARMACY  ,"4077 Whittier Blvd
Los Angeles, CA 90023",8.75
ALBUTEROL SULFATE,Los Angeles,WALGREENS  ,"460 S Broadway
Los Angeles, CA 90013",8.83
ALBUTEROL SULFATE,Los Angeles,"COMMUNITY, A WALGREENS PHARMACY  ","1902 Marengo St Ste 105
Los Angeles, CA 90033",8.83
ALBUTEROL SULFATE,Los Angeles,PING ON PHARMACY  ,"640 N Broadway Ste 3
Los Angeles, CA 90012",10.23
ALBUTEROL SULFATE,Los Angeles,PING ON MEDICAL PHARMACY  ,"650 N Broadway Ste B
Los Angeles, CA 90012",10.23
ALBUTEROL SULFATE,Los Angeles,NOFEL PHARMACY  ,"215 E 7th St Ste A
Los Angeles, CA 90014",10.23
ALBUTEROL SULFATE,Los Angeles,TAI ON PHARMACY INC  ,"818 N Hill St Ste A
Los Angeles, CA 90012",10.23
ALBUTEROL SULFATE,Los Angeles,EISNER PEDIATRIC AND FAMILY MEDICAL CENTER  ,"1500 S Olive St
Los Angeles, CA 90015",10.23
ALBUTEROL SULFATE,Los Angeles,GRAND SPECIALTY PHARMACY  ,"1513 S Grand Ave Ste 100
Los Angeles, CA 90015",10.23
ALBUTEROL SULFATE,Los Angeles,AALPHA PHARMACY  ,"174 S Alvarado St
Los Angeles, CA 90057",10.23
ALBUTEROL SULFATE,Los Angeles,CCRX  ,"1919 W 7th St Ste M
Los Angeles, CA 90057",10.23
ALBUTEROL SULFATE,Los Angeles,NOUBARS EL ADOBE PHARMACY INC.  ,"2010 Wilshire Blvd Ste 2010F
Los Angeles, CA 90057",10.23
ALBUTEROL SULFATE,Los Angeles,CLINICA MSR OSCAR A ROMERO  ,"123 S Alvarado St
Los Angeles, CA 90057",10.23
ALBUTEROL SULFATE,Los Angeles,WEST VAL CARE PHARMACY  ,"2121 W 6th St
Los Angeles, CA 90057",10.23
ALBUTEROL SULFATE,Los Angeles,PICO UNION PHARMACY  ,"1273 S Union Ave
Los Angeles, CA 90015",10.23
ALBUTEROL SULFATE,Los Angeles,ALVARADO DRUGS  ,"819 S Alvarado St
Los Angeles, CA 90057",10.23
ALBUTEROL SULFATE,Los Angeles,RAMIREZ PHARMACY  ,"2403 E Cesar E Chavez Ave
Los Angeles, CA 90033",10.23
ALBUTEROL SULFATE,Los Angeles,SERV U PHARMACY INC  ,"2034 W Pico Blvd
Los Angeles, CA 90006",10.23
ALBUTEROL SULFATE,Los Angeles,KING PHARMACY  ,"2707 Whittier Blvd
Los Angeles, CA 90023",10.23
ALBUTEROL SULFATE,Los Angeles,WILSHIRE GRAND PHARMACY  ,"2974 Wilshire Blvd
Los Angeles, CA 90010",10.23
ALBUTEROL SULFATE,Miami,PUBLIX PHARMACY  ,"120 SW 13th St
Miami, FL 33130",6.78
ALBUTEROL SULFATE,Miami,WINN DIXIE  ,"1155 NW 11th St
Miami, FL 33136",8.48
ALBUTEROL SULFATE,Miami,TAQUECHEL PHARMACY  ,"439 NW 12th Ave
Miami, FL 33128",8.75
ALBUTEROL SULFATE,Miami,PINO PHARMACY  ,"1350 SW 57th Ave Ste 105
West Miami, FL 33144",8.75
ALBUTEROL SULFATE,Miami,WALGREENS  ,"200 SW 13th St
Miami, FL 33130",8.83
ALBUTEROL SULFATE,Miami,"CHRONISCRIPT, A WALGREENS PHARMACY  ","1250 NW 7th St Ste 205
Miami, FL 33125",8.83
ALBUTEROL SULFATE,Miami,AMERICAN UNITED PHARMACY CORP  ,"138 Beacom Blvd
Miami, FL 33135",10.23
ALBUTEROL SULFATE,Miami,LA GANGA DISCOUNT PHARMACY  ,"2975 NW 17th Ave
Miami, FL 33142",10.23
ALBUTEROL SULFATE,Miami,IPHARMACY DISCOUNT INC  ,"3027 NW 7th St
Miami, FL 33125",10.23
ALBUTEROL SULFATE,Miami,"EXPRESS RX PHARMACY, INC  ","3421 SW 8th St
Miami, FL 33135",10.23
ALBUTEROL SULFATE,Miami,SAN LAZARO PHARMACY AND DISCOUNT  ,"2295 NW 28th St
Miami, FL 33142",10.23
ALBUTEROL SULFATE,Miami,TOTAL RX PHARMACY AND DISCOUNT  ,"2341 NW 27th Ave
Miami, FL 33142",10.23
ALBUTEROL SULFATE,Miami,SUPER DRUGS PHARMACY  ,"5512 SW 8th St
Coral Gables, FL 33134",10.23
ALBUTEROL SULFATE,Miami,BENZER PHARMACY  ,"1250 NW 7th St Unit 101-102
Miami, FL 33125",10.82
ALBUTEROL SULFATE,Miami,"STEVENS RX,LLC  ","1465 SW 8th St Ste 102
Miami, FL 33135",13.63
ALBUTEROL SULFATE,Miami,CVS PHARMACY  ,"1201 Brickell Ave
Miami, FL 33131",13.7
ALBUTEROL SULFATE,Miami,NAVARRO DISCOUNT PHARMACY  ,"1243 SW 8th St
Miami, FL 33135",13.7
ALBUTEROL SULFATE,Miami,LUIS PHARMACY  ,"3442 SW 8th St
Miami, FL 33135",14.08
ALBUTEROL SULFATE,Minneapolis,HEALTHPARTNERS COMO PHARMACY  ,"2500 Como Ave
Saint Paul, MN 55108",3.99
ALBUTEROL SULFATE,Minneapolis,PARK NICOLLET PHARMACY ST LOUIS PARK  ,"3850 Park Nicollet Blvd
St Louis Park, MN 55416",3.99
ALBUTEROL SULFATE,Minneapolis,HCMC RICHFIELD CLINIC PHARMACY  ,"790 W 66th St
Richfield, MN 55423",3.99
ALBUTEROL SULFATE,Minneapolis,CUB PHARMACY  ,"1104 Lagoon Ave
Minneapolis, MN 55408",8.48
ALBUTEROL SULFATE,Minneapolis,WALMART PHARMACY  ,"1960 Twin Lakes Pkwy
Roseville, MN 55113",8.75
ALBUTEROL SULFATE,Minneapolis,WALGREENS  ,"655 Nicollet Mall
Minneapolis, MN 55402",8.83
ALBUTEROL SULFATE,Minneapolis,"COMMUNITY, A WALGREENS PHARMACY  ","2100 Lyndale Ave S
Minneapolis, MN 55405",8.83
ALBUTEROL SULFATE,Minneapolis,WALGREENS  ,"4916 France Ave S
Edina, MN 55410",8.83
ALBUTEROL SULFATE,Minneapolis,LUNDS & BYERLYS PHARMACY  ,"55 University Ave SE
Minneapolis, MN 55414",10.23
ALBUTEROL SULFATE,Minneapolis,FAIRVIEW RIVERSIDE PHARMACY  ,"606 24th Ave S
Minneapolis, MN 55454",10.93
ALBUTEROL SULFATE,Minneapolis,UMMC FAIRVIEW RIVERSIDE CAMPUS PHARMACY  ,"2450 Riverside Ave
Minneapolis, MN 55454",10.93
ALBUTEROL SULFATE,Minneapolis,FAIRVIEW PHARMACY CBCD  ,"2512 S 7th St Ste 105
Minneapolis, MN 55454",10.93
ALBUTEROL SULFATE,Minneapolis,FAIRVIEW UNIVERSITY DISCHARGE PHARMACY  ,"500 Harvard St SE
Minneapolis, MN 55455",10.93
ALBUTEROL SULFATE,Minneapolis,FAIRVIEW UNIVERSITY CLINIC PHARMACY  ,"909 Fulton St SE Fl 1
Minneapolis, MN 55455",10.93
ALBUTEROL SULFATE,Minneapolis,FAIRVIEW PHARMACY SMILEYS CLINIC  ,"2020 E 28th St
Minneapolis, MN 55407",10.93
ALBUTEROL SULFATE,Minneapolis,FAIRVIEW PHARMACY UNIVERSITY VILLAGE  ,"2545 University Ave SE
Minneapolis, MN 55414",10.93
